path,label
/Adenocarcinoma/GT2014662-2-400-005.png,0
/High-grade IN/GT2014757-2-400-003.png,1
/Low-grade IN/GTXC2013528-2-400-004.png,2
/Low-grade IN/GTXC2015362-4-400-001.png,2
/Low-grade IN/GT2012175-1-400-003.png,2
/Polyp/GTxc2013509-1-400-003.png,4
/Polyp/GT2016854-1-400-002.png,4
/Adenocarcinoma/GT2014662-2-400-003.png,0
/Adenocarcinoma/GTxc2012822-1-400-007.png,0
/Low-grade IN/GTXC2015381-1-400-003.png,2
/Polyp/GTXC2100798-1-400-008.png,4
/Polyp/GT2014077-1-400-001.png,4
/High-grade IN/GTXC2110585-1-400-004.png,1
/Adenocarcinoma/GTXC2013386-1-400-009.png,0
/Adenocarcinoma/GTXC2015371-1-400-002.png,0
/High-grade IN/GT2014757-2-400-002.png,1
/Polyp/GTXC2110530-1-400-012.png,4
/Polyp/GTxc2013953-4-400-002.png,4
/Low-grade IN/GTXC2014192-2-400-006.png,2
/Adenocarcinoma/GTXC2014065-1-400-001.png,0
/Serrated adenoma/GTXC2100732-1-400-006.png,5
/Adenocarcinoma/GT2012525-1-400-004.png,0
/Adenocarcinoma/GT2012353-1-400-004.png,0
/Adenocarcinoma/GTxc2013965-1-400-008.png,0
/Adenocarcinoma/GTXC2014153-3-400-005.png,0
/Adenocarcinoma/GT2012324-1-400-002.png,0
/Adenocarcinoma/GT2016893-1-400-002.png,0
/Low-grade IN/GTXC2014129-1-400-005.png,2
/Adenocarcinoma/GTxc2012990-1-400-009.png,0
/Adenocarcinoma/GT2013132-1-400-001.png,0
/Polyp/GTXC2110530-1-400-001.png,4
/Polyp/GTXC2110531-1-400-010.png,4
/Adenocarcinoma/GT2012324-1-400-015.png,0
/Normal/GTxc2012827-2-400-004.png,3
/Low-grade IN/GTDC2101366-1-400-002.png,2
/High-grade IN/GT2012156-2-400-004.png,1
/Polyp/GTXC2110181-1-400-006.png,4
/Adenocarcinoma/GT2017986-1-400-001.png,0
/Low-grade IN/GTxc2012796-1-400-004.png,2
/Polyp/GTXC2100772-1-400-008.png,4
/Adenocarcinoma/GTXC2015401-1-400-004.png,0
/Adenocarcinoma/GT2012508-3-400-011.png,0
/Low-grade IN/GTxc2012803-1-400-003.png,2
/Low-grade IN/GTxc2013005-1-400-002.png,2
/Polyp/GTxc2013458-1-400-003.png,4
/High-grade IN/GTXC2110128-3-400-002.png,1
/Adenocarcinoma/GTxc2013392-2-400-004.png,0
/Adenocarcinoma/GTXC2110135-2-400-004.png,0
/Adenocarcinoma/GTxc2013496-4-400-009.png,0
/Adenocarcinoma/GTxc2014131-3-400-007.png,0
/Polyp/GT2012217-1-400-002.png,4
/Low-grade IN/GTxc2110176-2-400-002.png,2
/Low-grade IN/GT2013112-7-400-001.png,2
/Adenocarcinoma/GTXC2110185-1-400-004.png,0
/Polyp/GTxc2013953-4-400-001.png,4
/Low-grade IN/GTxc2014165-1-400-001.png,2
/Low-grade IN/GTXC2015362-3-400-003.png,2
/Low-grade IN/GTXC2015417-1-400-002.png,2
/Polyp/GT2014780-1-400-002.png,4
/Polyp/GT2012426-2-400-001.png,4
/Adenocarcinoma/GTxc2014144-5-400-002.png,0
/Adenocarcinoma/GT2017150-1-400-004.png,0
/Adenocarcinoma/GT2001837-1-400-004.png,0
/High-grade IN/GTxc2012785-1-400-001.png,1
/Adenocarcinoma/GTxc2110176-3-400-005.png,0
/Low-grade IN/GT2016795-1-400-001.png,2
/Adenocarcinoma/GTxc2013450-1-400-003.png,0
/Adenocarcinoma/GT2016885-3-400-002.png,0
/Polyp/GTXC2110530-1-400-010.png,4
/Low-grade IN/GTxc2014094-2-400-002.png,2
/High-grade IN/GT2016846-3-400-003.png,1
/Low-grade IN/GT2014804-1-400-002.png,2
/Polyp/GTxc2014097-1-400-001.png,4
/Low-grade IN/GTxc2012915-1-400-003.png,2
/Low-grade IN/GT2016811-2-400-004.png,2
/Low-grade IN/GT2014757-1-400-001.png,2
/Low-grade IN/GTXC2015381-1-400-004.png,2
/Polyp/GTxc2013509-1-400-002.png,4
/Low-grade IN/GTxc2013400-2-400-005.png,2
/Low-grade IN/GTXC2012096-3-400-001.png,2
/Adenocarcinoma/GT2014662-2-400-004.png,0
/Adenocarcinoma/GT2014665-3-400-001.png,0
/Adenocarcinoma/GTxc2013961-1-400-003.png,0
/Adenocarcinoma/GT2012353-1-400-001.png,0
/Polyp/GTXC2100773-1-400-005.png,4
/Low-grade IN/GTxc2012529-1-400-003.png,2
/Adenocarcinoma/GT2012329-1-400-006.png,0
/Adenocarcinoma/GTXC2014153-3-400-002.png,0
/Adenocarcinoma/GTxc2013965-1-400-006.png,0
/Adenocarcinoma/GT2100120-4-400-004.png,0
/Normal/GT2100275-1-400-001.png,3
/Low-grade IN/GTxc2012952-1-400-003.png,2
/Serrated adenoma/GTXC2014151-2-400-006.png,5
/Serrated adenoma/GT1815555-4-400-001.png,5
/Adenocarcinoma/GTxc2014144-4-400-006.png,0
/Serrated adenoma/GT2014848-1-400-001.png,5
/Adenocarcinoma/GT2001849-1-400-005.png,0
/Polyp/GTXC2100763-1-400-002.png,4
/High-grade IN/GT2017351-1-400-001.png,1
/Adenocarcinoma/GT2100256-2-400-002.png,0
/High-grade IN/GTXC2110540-1-400-002.png,1
/Polyp/GTXC2100737-1-400-001.png,4
/Low-grade IN/GT2014804-1-400-001.png,2
/Adenocarcinoma/GT2016841-1-400-001.png,0
/Adenocarcinoma/GT2001838-1-400-005.png,0
/Low-grade IN/GT2012195-1-400-002.png,2
/Adenocarcinoma/GTxc2012888-1-400-022.png,0
/Low-grade IN/GTxc2012468-2-400-002.png,2
/Normal/GT2100256-9-400-002.png,3
/Normal/GT2100275-1-400-004.png,3
/Polyp/GTXC2015335-4-400-003.png,4
/Adenocarcinoma/GTxc2014144-4-400-005.png,0
/Low-grade IN/GT2012149-2-400-003.png,2
/Low-grade IN/GTxc2013501-2-400-003.png,2
/Low-grade IN/GT2012197-2-400-005.png,2
/Polyp/GTXC2100728-1-400-004.png,4
/Polyp/GTXC2015335-4-400-002.png,4
/Polyp/GTxc2012778-1-400-004.png,4
/Adenocarcinoma/GTxc2012902-1-400-002.png,0
/Polyp/GTXC2110503-1-400-007.png,4
/Polyp/GTXC2100737-1-400-003.png,4
/Adenocarcinoma/GT2001849-1-400-011.png,0
/High-grade IN/GTXC2110187-1-400-003.png,1
/High-grade IN/GT2012508-1-400-005.png,1
/Low-grade IN/GTxc2012967-1-400-005.png,2
/Low-grade IN/GTxc2013439-1-400-004.png,2
/Normal/GT2100256-2-400-003.png,3
/Adenocarcinoma/GTxc2013489-1-400-002.png,0
/Adenocarcinoma/GT2012508-3-400-009.png,0
/Adenocarcinoma/GT2100111-1-400-001.png,0
/High-grade IN/GTXC2110585-1-400-006.png,1
/Polyp/GTXC2110491-3-400-004.png,4
/Low-grade IN/GTxc2012803-1-400-006.png,2
/Polyp/GTXC2015335-1-400-001.png,4
